"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4400801092100","X4","40","2009-01-08T21:00:00.000","2009-01-08T21:01:00.000","5.8","V","HO"
"X4420801092100","X4","42","2009-01-08T21:00:00.000","2009-01-08T21:58:00.000","5.5","V","HO"
"X4340801092100","X4","34","2009-01-08T21:00:00.000",,"1017","V","HO"
"X4440801092200","X4","44","2009-01-08T22:00:00.000","2009-01-08T22:30:00.000","60","V","HO"
"X4500801092200","X4","50","2009-01-08T22:00:00.000","2009-01-08T22:35:00.000","5.3","V","HO"
"X4510801092200","X4","51","2009-01-08T22:00:00.000",,"358","V","HO"
"X4320801092200","X4","32","2009-01-08T22:00:00.000",,"5","V","HO"
"X4420801092200","X4","42","2009-01-08T22:00:00.000","2009-01-08T22:46:00.000","4.8","V","HO"
"X4340801092200","X4","34","2009-01-08T22:00:00.000",,"1017","V","HO"
"X4350801092200","X4","35","2009-01-08T22:00:00.000",,"0","V","HO"
"X4360801092200","X4","36","2009-01-08T22:00:00.000",,"0","V","HO"
"X4400801092200","X4","40","2009-01-08T22:00:00.000","2009-01-08T22:00:00.000","5.5","V","HO"
"X4330801092200","X4","33","2009-01-08T22:00:00.000",,"61","V","HO"
"X4500801092300","X4","50","2009-01-08T23:00:00.000","2009-01-08T23:04:00.000","7.5","V","HO"
"X4440801092300","X4","44","2009-01-08T23:00:00.000","2009-01-08T23:07:00.000","61","V","HO"
"X4420801092300","X4","42","2009-01-08T23:00:00.000","2009-01-08T23:53:00.000","4.3","V","HO"
"X4400801092300","X4","40","2009-01-08T23:00:00.000","2009-01-08T23:20:00.000","5","V","HO"
"X4510801092300","X4","51","2009-01-08T23:00:00.000",,"0","V","HO"
"X4350801092300","X4","35","2009-01-08T23:00:00.000",,"0","V","HO"
"X4340801092300","X4","34","2009-01-08T23:00:00.000",,"1016","V","HO"
"X4330801092300","X4","33","2009-01-08T23:00:00.000",,"63","V","HO"
"X4320801092300","X4","32","2009-01-08T23:00:00.000",,"4.8","V","HO"
"X4360801092300","X4","36","2009-01-08T23:00:00.000",,"0","V","HO"
"X4320901090000","X4","32","2009-01-09T00:00:00.000",,"5.2","V","HO"
"X4330901090000","X4","33","2009-01-09T00:00:00.000",,"60","V","HO"
"X4340901090000","X4","34","2009-01-09T00:00:00.000",,"1015","V","HO"
"X4350901090000","X4","35","2009-01-09T00:00:00.000",,"0","V","HO"
"X4510901090000","X4","51","2009-01-09T00:00:00.000",,"8","V","HO"
"X4400901090000","X4","40","2009-01-09T00:00:00.000","2009-01-09T00:50:00.000","5.5","V","HO"
"X4420901090000","X4","42","2009-01-09T00:00:00.000","2009-01-09T00:00:00.000","4.4","V","HO"
"X4440901090000","X4","44","2009-01-09T00:00:00.000","2009-01-09T00:29:00.000","58","V","HO"
"X4500901090000","X4","50","2009-01-09T00:00:00.000","2009-01-09T00:14:00.000","6.1","V","HO"
"X4360901090000","X4","36","2009-01-09T00:00:00.000",,"0","V","HO"
"X4320901090100","X4","32","2009-01-09T01:00:00.000",,"5.8","V","HO"
"X4330901090100","X4","33","2009-01-09T01:00:00.000",,"60","V","HO"
"X4340901090100","X4","34","2009-01-09T01:00:00.000",,"1015","V","HO"
"X4350901090100","X4","35","2009-01-09T01:00:00.000",,"0","V","HO"
"X4510901090100","X4","51","2009-01-09T01:00:00.000",,"15","V","HO"
"X4400901090100","X4","40","2009-01-09T01:00:00.000","2009-01-09T01:58:00.000","6.1","V","HO"
"X4420901090100","X4","42","2009-01-09T01:00:00.000","2009-01-09T01:00:00.000","5.5","V","HO"
"X4440901090100","X4","44","2009-01-09T01:00:00.000","2009-01-09T01:52:00.000","58","V","HO"
"X4500901090100","X4","50","2009-01-09T01:00:00.000","2009-01-09T01:40:00.000","7.2","V","HO"
"X4360901090100","X4","36","2009-01-09T01:00:00.000",,"0","V","HO"
"X4320901090200","X4","32","2009-01-09T02:00:00.000",,"6.4","V","HO"
"X4330901090200","X4","33","2009-01-09T02:00:00.000",,"58","V","HO"
"X4340901090200","X4","34","2009-01-09T02:00:00.000",,"1015","V","HO"
"X4350901090200","X4","35","2009-01-09T02:00:00.000",,"0","V","HO"
"X4510901090200","X4","51","2009-01-09T02:00:00.000",,"19","V","HO"
"X4400901090200","X4","40","2009-01-09T02:00:00.000","2009-01-09T02:58:00.000","6.7","V","HO"
"X4420901090200","X4","42","2009-01-09T02:00:00.000","2009-01-09T02:00:00.000","6.1","V","HO"
"X4440901090200","X4","44","2009-01-09T02:00:00.000","2009-01-09T02:29:00.000","57","V","HO"
"X4500901090200","X4","50","2009-01-09T02:00:00.000","2009-01-09T02:00:00.000","5.6","V","HO"
"X4360901090200","X4","36","2009-01-09T02:00:00.000",,"0","V","HO"
"X4320901090300","X4","32","2009-01-09T03:00:00.000",,"6.9","V","HO"
"X4330901090300","X4","33","2009-01-09T03:00:00.000",,"60","V","HO"
"X4340901090300","X4","34","2009-01-09T03:00:00.000",,"1015","V","HO"
"X4350901090300","X4","35","2009-01-09T03:00:00.000",,"0","V","HO"
"X4510901090300","X4","51","2009-01-09T03:00:00.000",,"16","V","HO"
"X4400901090300","X4","40","2009-01-09T03:00:00.000","2009-01-09T03:58:00.000","7","V","HO"
"X4420901090300","X4","42","2009-01-09T03:00:00.000","2009-01-09T03:00:00.000","6.7","V","HO"
"X4440901090300","X4","44","2009-01-09T03:00:00.000","2009-01-09T03:00:00.000","59","V","HO"
"X4500901090300","X4","50","2009-01-09T03:00:00.000","2009-01-09T03:11:00.000","4.9","V","HO"
"X4360901090300","X4","36","2009-01-09T03:00:00.000",,"0","V","HO"
"X4320901090400","X4","32","2009-01-09T04:00:00.000",,"7.2","V","HO"
"X4330901090400","X4","33","2009-01-09T04:00:00.000",,"63","V","HO"
"X4340901090400","X4","34","2009-01-09T04:00:00.000",,"1014","V","HO"
"X4350901090400","X4","35","2009-01-09T04:00:00.000",,"0","V","HO"
"X4360901090400","X4","36","2009-01-09T04:00:00.000",,"0","V","HO"
"X4400901090400","X4","40","2009-01-09T04:00:00.000","2009-01-09T04:54:00.000","7.4","V","HO"
"X4420901090400","X4","42","2009-01-09T04:00:00.000","2009-01-09T04:00:00.000","7","V","HO"
"X4440901090400","X4","44","2009-01-09T04:00:00.000","2009-01-09T04:00:00.000","62","V","HO"
"X4500901090400","X4","50","2009-01-09T04:00:00.000","2009-01-09T04:19:00.000","4.2","V","HO"
"X4510901090400","X4","51","2009-01-09T04:00:00.000",,"71","V","HO"
"X4320901090500","X4","32","2009-01-09T05:00:00.000",,"7.5","V","HO"
"X4330901090500","X4","33","2009-01-09T05:00:00.000",,"66","V","HO"
"X4340901090500","X4","34","2009-01-09T05:00:00.000",,"1014","V","HO"
"X4350901090500","X4","35","2009-01-09T05:00:00.000",,"0","V","HO"
"X4360901090500","X4","36","2009-01-09T05:00:00.000",,"0","V","HO"
"X4400901090500","X4","40","2009-01-09T05:00:00.000","2009-01-09T05:48:00.000","7.8","V","HO"
"X4420901090500","X4","42","2009-01-09T05:00:00.000","2009-01-09T05:02:00.000","7.3","V","HO"
"X4440901090500","X4","44","2009-01-09T05:00:00.000","2009-01-09T05:47:00.000","65","V","HO"
"X4500901090500","X4","50","2009-01-09T05:00:00.000","2009-01-09T05:18:00.000","5.5","V","HO"
"X4510901090500","X4","51","2009-01-09T05:00:00.000",,"359","V","HO"
"X4330901090600","X4","33","2009-01-09T06:00:00.000",,"66","V","HO"
"X4340901090600","X4","34","2009-01-09T06:00:00.000",,"1014","V","HO"
"X4350901090600","X4","35","2009-01-09T06:00:00.000",,"0","V","HO"
"X4360901090600","X4","36","2009-01-09T06:00:00.000",,"0","V","HO"
"X4400901090600","X4","40","2009-01-09T06:00:00.000","2009-01-09T06:57:00.000","7.9","V","HO"
"X4420901090600","X4","42","2009-01-09T06:00:00.000","2009-01-09T06:11:00.000","7.7","V","HO"
"X4440901090600","X4","44","2009-01-09T06:00:00.000","2009-01-09T06:56:00.000","66","V","HO"
"X4500901090600","X4","50","2009-01-09T06:00:00.000","2009-01-09T06:54:00.000","5.2","V","HO"
"X4510901090600","X4","51","2009-01-09T06:00:00.000",,"47","V","HO"
"X4320901090600","X4","32","2009-01-09T06:00:00.000",,"7.8","V","HO"
"X4320901090700","X4","32","2009-01-09T07:00:00.000",,"8","V","HO"
"X4340901090700","X4","34","2009-01-09T07:00:00.000",,"1014","V","HO"
"X4420901090700","X4","42","2009-01-09T07:00:00.000","2009-01-09T07:13:00.000","7.9","V","HO"
"X4440901090700","X4","44","2009-01-09T07:00:00.000","2009-01-09T07:00:00.000","65","V","HO"
"X4330901090700","X4","33","2009-01-09T07:00:00.000",,"66","V","HO"
"X4510901090700","X4","51","2009-01-09T07:00:00.000",,"24","V","HO"
"X4400901090700","X4","40","2009-01-09T07:00:00.000","2009-01-09T07:57:00.000","8.1","V","HO"
"X4360901090700","X4","36","2009-01-09T07:00:00.000",,"8","V","HO"
"X4350901090700","X4","35","2009-01-09T07:00:00.000",,"0","V","HO"
"X4500901090700","X4","50","2009-01-09T07:00:00.000","2009-01-09T07:33:00.000","6.1","V","HO"
"X4320901090800","X4","32","2009-01-09T08:00:00.000",,"8.5","V","HO"
"X4330901090800","X4","33","2009-01-09T08:00:00.000",,"66","V","HO"
"X4340901090800","X4","34","2009-01-09T08:00:00.000",,"1014","V","HO"
"X4350901090800","X4","35","2009-01-09T08:00:00.000",,"0","V","HO"
"X4510901090800","X4","51","2009-01-09T08:00:00.000",,"48","V","HO"
"X4400901090800","X4","40","2009-01-09T08:00:00.000","2009-01-09T08:58:00.000","9","V","HO"
"X4420901090800","X4","42","2009-01-09T08:00:00.000","2009-01-09T08:00:00.000","8.1","V","HO"
"X4440901090800","X4","44","2009-01-09T08:00:00.000","2009-01-09T08:56:00.000","65","V","HO"
"X4500901090800","X4","50","2009-01-09T08:00:00.000","2009-01-09T08:17:00.000","5.7","V","HO"
"X4360901090800","X4","36","2009-01-09T08:00:00.000",,"73","V","HO"
"X4340901090900","X4","34","2009-01-09T09:00:00.000",,"1014","V","HO"
"X4350901090900","X4","35","2009-01-09T09:00:00.000",,"0","V","HO"
"X4360901090900","X4","36","2009-01-09T09:00:00.000",,"68","V","HO"
"X4400901090900","X4","40","2009-01-09T09:00:00.000","2009-01-09T09:58:00.000","9.7","V","HO"
"X4420901090900","X4","42","2009-01-09T09:00:00.000","2009-01-09T09:00:00.000","9","V","HO"
"X4440901090900","X4","44","2009-01-09T09:00:00.000","2009-01-09T09:57:00.000","62","V","HO"
"X4500901090900","X4","50","2009-01-09T09:00:00.000","2009-01-09T09:48:00.000","5.9","V","HO"
"X4510901090900","X4","51","2009-01-09T09:00:00.000",,"50","V","HO"
"X4320901090900","X4","32","2009-01-09T09:00:00.000",,"9.3","V","HO"
"X4330901090900","X4","33","2009-01-09T09:00:00.000",,"64","V","HO"
"X4320901091000","X4","32","2009-01-09T10:00:00.000",,"9.7","V","HO"
"X4330901091000","X4","33","2009-01-09T10:00:00.000",,"65","V","HO"
"X4340901091000","X4","34","2009-01-09T10:00:00.000",,"1015","V","HO"
"X4350901091000","X4","35","2009-01-09T10:00:00.000",,"0","V","HO"
"X4510901091000","X4","51","2009-01-09T10:00:00.000",,"100","V","HO"
"X4400901091000","X4","40","2009-01-09T10:00:00.000","2009-01-09T10:57:00.000","9.9","V","HO"
"X4420901091000","X4","42","2009-01-09T10:00:00.000","2009-01-09T10:28:00.000","9.6","V","HO"
"X4440901091000","X4","44","2009-01-09T10:00:00.000","2009-01-09T10:02:00.000","61","V","HO"
"X4500901091000","X4","50","2009-01-09T10:00:00.000","2009-01-09T10:33:00.000","7.4","V","HO"
"X4360901091000","X4","36","2009-01-09T10:00:00.000",,"77","V","HO"
"X4320901091100","X4","32","2009-01-09T11:00:00.000",,"10.3","V","HO"
"X4330901091100","X4","33","2009-01-09T11:00:00.000",,"67","V","HO"
"X4340901091100","X4","34","2009-01-09T11:00:00.000",,"1014","V","HO"
"X4350901091100","X4","35","2009-01-09T11:00:00.000",,"0","V","HO"
"X4510901091100","X4","51","2009-01-09T11:00:00.000",,"41","V","HO"
"X4400901091100","X4","40","2009-01-09T11:00:00.000","2009-01-09T11:57:00.000","10.7","V","HO"
"X4420901091100","X4","42","2009-01-09T11:00:00.000","2009-01-09T11:04:00.000","9.9","V","HO"
"X4440901091100","X4","44","2009-01-09T11:00:00.000","2009-01-09T11:48:00.000","66","V","HO"
"X4500901091100","X4","50","2009-01-09T11:00:00.000","2009-01-09T11:06:00.000","6.5","V","HO"
"X4360901091100","X4","36","2009-01-09T11:00:00.000",,"216","V","HO"
"X4320901091200","X4","32","2009-01-09T12:00:00.000",,"11.2","V","HO"
"X4330901091200","X4","33","2009-01-09T12:00:00.000",,"63","V","HO"
"X4340901091200","X4","34","2009-01-09T12:00:00.000",,"1013","V","HO"
"X4350901091200","X4","35","2009-01-09T12:00:00.000",,"0","V","HO"
"X4510901091200","X4","51","2009-01-09T12:00:00.000",,"59","V","HO"
"X4400901091200","X4","40","2009-01-09T12:00:00.000","2009-01-09T12:26:00.000","11.5","V","HO"
"X4420901091200","X4","42","2009-01-09T12:00:00.000","2009-01-09T12:00:00.000","10.7","V","HO"
"X4440901091200","X4","44","2009-01-09T12:00:00.000","2009-01-09T12:27:00.000","62","V","HO"
"X4500901091200","X4","50","2009-01-09T12:00:00.000","2009-01-09T12:07:00.000","7.5","V","HO"
"X4360901091200","X4","36","2009-01-09T12:00:00.000",,"339","V","HO"
"X4320901091300","X4","32","2009-01-09T13:00:00.000",,"10.9","V","HO"
"X4330901091300","X4","33","2009-01-09T13:00:00.000",,"64","V","HO"
"X4340901091300","X4","34","2009-01-09T13:00:00.000",,"1013","V","HO"
"X4350901091300","X4","35","2009-01-09T13:00:00.000",,"0","V","HO"
"X4360901091300","X4","36","2009-01-09T13:00:00.000",,"124","V","HO"
"X4400901091300","X4","40","2009-01-09T13:00:00.000","2009-01-09T13:00:00.000","11.1","V","HO"
"X4420901091300","X4","42","2009-01-09T13:00:00.000","2009-01-09T13:58:00.000","10.7","V","HO"
"X4440901091300","X4","44","2009-01-09T13:00:00.000","2009-01-09T13:00:00.000","62","V","HO"
"X4500901091300","X4","50","2009-01-09T13:00:00.000","2009-01-09T13:09:00.000","6.8","V","HO"
"X4510901091300","X4","51","2009-01-09T13:00:00.000",,"70","V","HO"
"X4320901091400","X4","32","2009-01-09T14:00:00.000",,"10.3","V","HO"
"X4330901091400","X4","33","2009-01-09T14:00:00.000",,"71","V","HO"
"X4340901091400","X4","34","2009-01-09T14:00:00.000",,"1013","V","HO"
"X4350901091400","X4","35","2009-01-09T14:00:00.000",,"3.7","V","HO"
"X4360901091400","X4","36","2009-01-09T14:00:00.000",,"101","V","HO"
"X4400901091400","X4","40","2009-01-09T14:00:00.000","2009-01-09T14:05:00.000","10.6","V","HO"
"X4420901091400","X4","42","2009-01-09T14:00:00.000","2009-01-09T14:48:00.000","10","V","HO"
"X4440901091400","X4","44","2009-01-09T14:00:00.000","2009-01-09T14:02:00.000","66","V","HO"
"X4500901091400","X4","50","2009-01-09T14:00:00.000","2009-01-09T14:07:00.000","3.8","V","HO"
"X4510901091400","X4","51","2009-01-09T14:00:00.000",,"18","V","HO"
"X4360901091500","X4","36","2009-01-09T15:00:00.000",,"146","V","HO"
"X4400901091500","X4","40","2009-01-09T15:00:00.000","2009-01-09T15:23:00.000","10.7","V","HO"
"X4420901091500","X4","42","2009-01-09T15:00:00.000","2009-01-09T15:00:00.000","10.2","V","HO"
"X4440901091500","X4","44","2009-01-09T15:00:00.000","2009-01-09T15:37:00.000","71","V","HO"
"X4500901091500","X4","50","2009-01-09T15:00:00.000","2009-01-09T15:07:00.000","3.6","V","HO"
"X4510901091500","X4","51","2009-01-09T15:00:00.000",,"57","V","HO"
"X4320901091500","X4","32","2009-01-09T15:00:00.000",,"10.5","V","HO"
"X4330901091500","X4","33","2009-01-09T15:00:00.000",,"72","V","HO"
"X4340901091500","X4","34","2009-01-09T15:00:00.000",,"1013","V","HO"
"X4350901091500","X4","35","2009-01-09T15:00:00.000",,"0","V","HO"
"X4320901091600","X4","32","2009-01-09T16:00:00.000",,"9.9","V","HO"
"X4330901091600","X4","33","2009-01-09T16:00:00.000",,"72","V","HO"
"X4340901091600","X4","34","2009-01-09T16:00:00.000",,"1013","V","HO"
"X4350901091600","X4","35","2009-01-09T16:00:00.000",,"0","V","HO"
"X4510901091600","X4","51","2009-01-09T16:00:00.000",,"4","V","HO"
"X4400901091600","X4","40","2009-01-09T16:00:00.000","2009-01-09T16:00:00.000","10.3","V","HO"
"X4420901091600","X4","42","2009-01-09T16:00:00.000","2009-01-09T16:52:00.000","9.5","V","HO"
"X4440901091600","X4","44","2009-01-09T16:00:00.000","2009-01-09T16:12:00.000","70","V","HO"
"X4500901091600","X4","50","2009-01-09T16:00:00.000","2009-01-09T16:21:00.000","3.7","V","HO"
"X4360901091600","X4","36","2009-01-09T16:00:00.000",,"11","V","HO"
"X4320901091700","X4","32","2009-01-09T17:00:00.000",,"9.4","V","HO"
"X4330901091700","X4","33","2009-01-09T17:00:00.000",,"72","V","HO"
"X4340901091700","X4","34","2009-01-09T17:00:00.000",,"1013","V","HO"
"X4350901091700","X4","35","2009-01-09T17:00:00.000",,"0","V","HO"
"X4510901091700","X4","51","2009-01-09T17:00:00.000",,"39","V","HO"
"X4500901091700","X4","50","2009-01-09T17:00:00.000","2009-01-09T17:14:00.000","4.4","V","HO"
"X4360901091700","X4","36","2009-01-09T17:00:00.000",,"0","V","HO"
"X4400901091700","X4","40","2009-01-09T17:00:00.000","2009-01-09T17:00:00.000","9.6","V","HO"
"X4420901091700","X4","42","2009-01-09T17:00:00.000","2009-01-09T17:58:00.000","9.3","V","HO"
"X4440901091700","X4","44","2009-01-09T17:00:00.000","2009-01-09T17:50:00.000","71","V","HO"
"X4020901091700","X4","2","2009-01-09T17:00:00.000","2009-01-09T11:03:00.000","1013","V","HO"
"X4340901091800","X4","34","2009-01-09T18:00:00.000",,"1014","V","HO"
"X4360901091800","X4","36","2009-01-09T18:00:00.000",,"0","V","HO"
"X4350901091800","X4","35","2009-01-09T18:00:00.000",,"0","V","HO"
"X4330901091800","X4","33","2009-01-09T18:00:00.000",,"71","V","HO"
"X4320901091800","X4","32","2009-01-09T18:00:00.000",,"9.3","V","HO"
"X4510901091800","X4","51","2009-01-09T18:00:00.000",,"74","V","HO"
"X4500901091800","X4","50","2009-01-09T18:00:00.000","2009-01-09T18:38:00.000","4.7","V","HO"
"X4440901091800","X4","44","2009-01-09T18:00:00.000","2009-01-09T18:48:00.000","70","V","HO"
"X4400901091800","X4","40","2009-01-09T18:00:00.000","2009-01-09T18:43:00.000","9.3","V","HO"
"X4420901091800","X4","42","2009-01-09T18:00:00.000","2009-01-09T18:31:00.000","9.2","V","HO"
"X4320901091900","X4","32","2009-01-09T19:00:00.000",,"9","V","HO"
"X4330901091900","X4","33","2009-01-09T19:00:00.000",,"72","V","HO"
"X4340901091900","X4","34","2009-01-09T19:00:00.000",,"1014","V","HO"
"X4350901091900","X4","35","2009-01-09T19:00:00.000",,"0","V","HO"
"X4510901091900","X4","51","2009-01-09T19:00:00.000",,"37","V","HO"
"X4400901091900","X4","40","2009-01-09T19:00:00.000","2009-01-09T19:00:00.000","9.2","V","HO"
"X4420901091900","X4","42","2009-01-09T19:00:00.000","2009-01-09T19:44:00.000","8.9","V","HO"
"X4440901091900","X4","44","2009-01-09T19:00:00.000","2009-01-09T19:01:00.000","70","V","HO"
"X4500901091900","X4","50","2009-01-09T19:00:00.000","2009-01-09T19:51:00.000","4.3","V","HO"
"X4360901091900","X4","36","2009-01-09T19:00:00.000",,"0","V","HO"
"X4420901092000","X4","42","2009-01-09T20:00:00.000","2009-01-09T20:04:00.000","8.9","V","HO"
"X4440901092000","X4","44","2009-01-09T20:00:00.000","2009-01-09T20:01:00.000","73","V","HO"
"X4500901092000","X4","50","2009-01-09T20:00:00.000","2009-01-09T20:32:00.000","5.6","V","HO"
"X4510901092000","X4","51","2009-01-09T20:00:00.000",,"79","V","HO"
"X4320901092000","X4","32","2009-01-09T20:00:00.000",,"9","V","HO"
"X4330901092000","X4","33","2009-01-09T20:00:00.000",,"74","V","HO"
"X4340901092000","X4","34","2009-01-09T20:00:00.000",,"1014","V","HO"
"X4350901092000","X4","35","2009-01-09T20:00:00.000",,"0","V","HO"
"X4360901092000","X4","36","2009-01-09T20:00:00.000",,"0","V","HO"
"X4400901092000","X4","40","2009-01-09T20:00:00.000","2009-01-09T20:43:00.000","9.1","V","HO"
"X4320901092100","X4","32","2009-01-09T21:00:00.000",,"9","V","HO"
"X4330901092100","X4","33","2009-01-09T21:00:00.000",,"78","V","HO"
"X4340901092100","X4","34","2009-01-09T21:00:00.000",,"1015","V","HO"
"X4350901092100","X4","35","2009-01-09T21:00:00.000",,"0.9","V","HO"
"X4510901092100","X4","51","2009-01-09T21:00:00.000",,"53","V","HO"
"X4400901092100","X4","40","2009-01-09T21:00:00.000","2009-01-09T21:45:00.000","9.1","V","HO"
"X4420901092100","X4","42","2009-01-09T21:00:00.000","2009-01-09T21:08:00.000","8.9","V","HO"
"X4440901092100","X4","44","2009-01-09T21:00:00.000","2009-01-09T21:29:00.000","77","V","HO"
"X4500901092100","X4","50","2009-01-09T21:00:00.000","2009-01-09T21:40:00.000","5.3","V","HO"
"X4360901092100","X4","36","2009-01-09T21:00:00.000",,"0","V","HO"
"X4330901092200","X4","33","2009-01-09T22:00:00.000",,"79","V","HO"
"X4340901092200","X4","34","2009-01-09T22:00:00.000",,"1015","V","HO"
"X4350901092200","X4","35","2009-01-09T22:00:00.000",,"1","V","HO"
"X4360901092200","X4","36","2009-01-09T22:00:00.000",,"0","V","HO"
"X4400901092200","X4","40","2009-01-09T22:00:00.000","2009-01-09T22:04:00.000","9.1","V","HO"
"X4510901092200","X4","51","2009-01-09T22:00:00.000",,"54","V","HO"
"X4440901092200","X4","44","2009-01-09T22:00:00.000","2009-01-09T22:14:00.000","77","V","HO"
"X4500901092200","X4","50","2009-01-09T22:00:00.000","2009-01-09T22:27:00.000","6.3","V","HO"
"X4010901092200","X4","1","2009-01-09T22:00:00.000","2009-01-09T22:16:00.000","1015","V","HO"
"X4320901092200","X4","32","2009-01-09T22:00:00.000",,"9","V","HO"
"X4420901092200","X4","42","2009-01-09T22:00:00.000","2009-01-09T22:44:00.000","8.9","V","HO"
"X4320901092300","X4","32","2009-01-09T23:00:00.000",,"9.4","V","HO"
"X4330901092300","X4","33","2009-01-09T23:00:00.000",,"80","V","HO"
"X4340901092300","X4","34","2009-01-09T23:00:00.000",,"1015","V","HO"
"X4350901092300","X4","35","2009-01-09T23:00:00.000",,"1.4","V","HO"
"X4510901092300","X4","51","2009-01-09T23:00:00.000",,"100","V","HO"
"X4400901092300","X4","40","2009-01-09T23:00:00.000","2009-01-09T23:34:00.000","9.7","V","HO"
"X4420901092300","X4","42","2009-01-09T23:00:00.000","2009-01-09T23:00:00.000","9","V","HO"
"X4440901092300","X4","44","2009-01-09T23:00:00.000","2009-01-09T23:09:00.000","78","V","HO"
"X4500901092300","X4","50","2009-01-09T23:00:00.000","2009-01-09T23:23:00.000","6.9","V","HO"
"X4360901092300","X4","36","2009-01-09T23:00:00.000",,"0","V","HO"
"X4501001090000","X4","50","2009-01-10T00:00:00.000","2009-01-10T00:50:00.000","7.5","V","HO"
"X4511001090000","X4","51","2009-01-10T00:00:00.000",,"305","V","HO"
"X4021001090000","X4","2","2009-01-10T00:00:00.000","2009-01-10T00:11:00.000","1014","V","HO"
"X4321001090000","X4","32","2009-01-10T00:00:00.000",,"8.8","V","HO"
"X4331001090000","X4","33","2009-01-10T00:00:00.000",,"82","V","HO"
"X4341001090000","X4","34","2009-01-10T00:00:00.000",,"1014","V","HO"
"X4351001090000","X4","35","2009-01-10T00:00:00.000",,"7.4","V","HO"
"X4361001090000","X4","36","2009-01-10T00:00:00.000",,"0","V","HO"
"X4401001090000","X4","40","2009-01-10T00:00:00.000","2009-01-10T00:00:00.000","9.6","V","HO"
"X4421001090000","X4","42","2009-01-10T00:00:00.000","2009-01-10T00:58:00.000","7.7","V","HO"
"X4441001090000","X4","44","2009-01-10T00:00:00.000","2009-01-10T00:02:00.000","80","V","HO"
"X4321001090100","X4","32","2009-01-10T01:00:00.000",,"7.6","V","HO"
"X4331001090100","X4","33","2009-01-10T01:00:00.000",,"87","V","HO"
"X4341001090100","X4","34","2009-01-10T01:00:00.000",,"1015","V","HO"
"X4351001090100","X4","35","2009-01-10T01:00:00.000",,"5.9","V","HO"
"X4511001090100","X4","51","2009-01-10T01:00:00.000",,"339","V","HO"
"X4401001090100","X4","40","2009-01-10T01:00:00.000","2009-01-10T01:58:00.000","7.9","V","HO"
"X4421001090100","X4","42","2009-01-10T01:00:00.000","2009-01-10T01:06:00.000","7.4","V","HO"
"X4441001090100","X4","44","2009-01-10T01:00:00.000","2009-01-10T01:00:00.000","84","V","HO"
"X4501001090100","X4","50","2009-01-10T01:00:00.000","2009-01-10T01:17:00.000","7.1","V","HO"
"X4361001090100","X4","36","2009-01-10T01:00:00.000",,"0","V","HO"
"X4361001090200","X4","36","2009-01-10T02:00:00.000",,"0","V","HO"
"X4351001090200","X4","35","2009-01-10T02:00:00.000",,"6.2","V","HO"
"X4511001090200","X4","51","2009-01-10T02:00:00.000",,"291","V","HO"
"X4401001090200","X4","40","2009-01-10T02:00:00.000","2009-01-10T02:58:00.000","8","V","HO"
"X4321001090200","X4","32","2009-01-10T02:00:00.000",,"7.9","V","HO"
"X4441001090200","X4","44","2009-01-10T02:00:00.000","2009-01-10T02:15:00.000","87","V","HO"
"X4501001090200","X4","50","2009-01-10T02:00:00.000","2009-01-10T02:14:00.000","4.1","V","HO"
"X4341001090200","X4","34","2009-01-10T02:00:00.000",,"1015","V","HO"
"X4331001090200","X4","33","2009-01-10T02:00:00.000",,"88","V","HO"
"X4421001090200","X4","42","2009-01-10T02:00:00.000","2009-01-10T02:17:00.000","7.9","V","HO"
"X4321001090300","X4","32","2009-01-10T03:00:00.000",,"8.4","V","HO"
"X4331001090300","X4","33","2009-01-10T03:00:00.000",,"86","V","HO"
"X4341001090300","X4","34","2009-01-10T03:00:00.000",,"1015","V","HO"
"X4351001090300","X4","35","2009-01-10T03:00:00.000",,"0.1","V","HO"
"X4511001090300","X4","51","2009-01-10T03:00:00.000",,"50","V","HO"
"X4401001090300","X4","40","2009-01-10T03:00:00.000","2009-01-10T03:48:00.000","8.7","V","HO"
"X4421001090300","X4","42","2009-01-10T03:00:00.000","2009-01-10T03:00:00.000","8","V","HO"
"X4441001090300","X4","44","2009-01-10T03:00:00.000","2009-01-10T03:58:00.000","85","V","HO"
"X4501001090300","X4","50","2009-01-10T03:00:00.000","2009-01-10T03:37:00.000","3.6","V","HO"
"X4361001090300","X4","36","2009-01-10T03:00:00.000",,"0","V","HO"
"X4321001090400","X4","32","2009-01-10T04:00:00.000",,"8.6","V","HO"
"X4331001090400","X4","33","2009-01-10T04:00:00.000",,"84","V","HO"
"X4341001090400","X4","34","2009-01-10T04:00:00.000",,"1015","V","HO"
"X4351001090400","X4","35","2009-01-10T04:00:00.000",,"0.9","V","HO"
"X4361001090400","X4","36","2009-01-10T04:00:00.000",,"0","V","HO"
"X4401001090400","X4","40","2009-01-10T04:00:00.000","2009-01-10T04:07:00.000","8.7","V","HO"
"X4421001090400","X4","42","2009-01-10T04:00:00.000","2009-01-10T04:54:00.000","8.5","V","HO"
"X4441001090400","X4","44","2009-01-10T04:00:00.000","2009-01-10T04:21:00.000","84","V","HO"
"X4501001090400","X4","50","2009-01-10T04:00:00.000","2009-01-10T04:25:00.000","3.4","V","HO"
