"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4330101090600","X4","33","2009-01-01T06:00:00.000",,"77","V","HO"
"X4340101090600","X4","34","2009-01-01T06:00:00.000",,"1015","V","HO"
"X4350101090600","X4","35","2009-01-01T06:00:00.000",,"0","V","HO"
"X4360101090600","X4","36","2009-01-01T06:00:00.000",,"0","V","HO"
"X4400101090600","X4","40","2009-01-01T06:00:00.000","2009-01-01T06:45:00.000","10.6","V","HO"
"X4420101090600","X4","42","2009-01-01T06:00:00.000","2009-01-01T06:30:00.000","10.3","V","HO"
"X4440101090600","X4","44","2009-01-01T06:00:00.000","2009-01-01T06:44:00.000","74","V","HO"
"X4500101090600","X4","50","2009-01-01T06:00:00.000","2009-01-01T06:40:00.000","1.4","V","HO"
"X4510101090600","X4","51","2009-01-01T06:00:00.000",,"331","V","HO"
"X4340101090700","X4","34","2009-01-01T07:00:00.000",,"1015","V","HO"
"X4350101090700","X4","35","2009-01-01T07:00:00.000",,"0","V","HO"
"X4360101090700","X4","36","2009-01-01T07:00:00.000",,"9","V","HO"
"X4400101090700","X4","40","2009-01-01T07:00:00.000","2009-01-01T07:17:00.000","10.9","V","HO"
"X4330101090700","X4","33","2009-01-01T07:00:00.000",,"72","V","HO"
"X4440101090700","X4","44","2009-01-01T07:00:00.000","2009-01-01T07:19:00.000","70","V","HO"
"X4500101090700","X4","50","2009-01-01T07:00:00.000","2009-01-01T07:14:00.000","3.5","V","HO"
"X4510101090700","X4","51","2009-01-01T07:00:00.000",,"293","V","HO"
"X4320101090700","X4","32","2009-01-01T07:00:00.000",,"10.7","V","HO"
"X4420101090700","X4","42","2009-01-01T07:00:00.000","2009-01-01T07:00:00.000","10.4","V","HO"
"X4510101090800","X4","51","2009-01-01T08:00:00.000",,"81","V","HO"
"X4500101090800","X4","50","2009-01-01T08:00:00.000","2009-01-01T08:15:00.000","1.7","V","HO"
"X4440101090800","X4","44","2009-01-01T08:00:00.000","2009-01-01T08:45:00.000","73","V","HO"
"X4420101090800","X4","42","2009-01-01T08:00:00.000","2009-01-01T08:03:00.000","10.4","V","HO"
"X4320101090800","X4","32","2009-01-01T08:00:00.000",,"10.5","V","HO"
"X4360101090800","X4","36","2009-01-01T08:00:00.000",,"56","V","HO"
"X4350101090800","X4","35","2009-01-01T08:00:00.000",,"0","V","HO"
"X4340101090800","X4","34","2009-01-01T08:00:00.000",,"1016","V","HO"
"X4330101090800","X4","33","2009-01-01T08:00:00.000",,"74","V","HO"
"X4400101090800","X4","40","2009-01-01T08:00:00.000","2009-01-01T08:57:00.000","10.6","V","HO"
"X4320101090900","X4","32","2009-01-01T09:00:00.000",,"11","V","HO"
